experiment,category,learner,query_strategy,n_estimators,max_depth,n_learners,n_initial,n_queries,r2
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,4,1,80,1,0.261746633
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,5,1,80,1,0.178671339
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,6,1,80,1,0.281338713
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,7,1,80,1,0.264462245
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,8,1,80,1,0.138611931
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,9,1,80,1,0.13278014
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,10,1,80,1,0.075697624
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,11,1,80,1,0.113149835
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,12,1,80,1,0.324727146
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,13,1,80,1,0.23664121
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,14,1,80,1,0.308593098
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,15,1,80,1,0.278392401
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,16,1,80,1,0.216798097
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,17,1,80,1,0.285828672
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,18,1,80,1,0.17983787
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,19,1,80,1,0.295222074
4_1,Single Learner,Random Forest Regressor,GP_regression_std,81,1,1,80,1,0.16571644
4_1,Single Learner,Random Forest Regressor,GP_regression_std,81,2,1,80,1,0.214707949
4_1,Single Learner,Random Forest Regressor,GP_regression_std,81,3,1,80,1,0.278278608
4_1,Single Learner,Random Forest Regressor,GP_regression_std,81,4,1,80,1,0.160291682
4_1,Single Learner,Random Forest Regressor,GP_regression_std,81,5,1,80,1,0.332128899
4_1,Single Learner,Random Forest Regressor,GP_regression_std,81,6,1,80,1,0.217691238
4_1,Single Learner,Random Forest Regressor,GP_regression_std,81,7,1,80,1,0.264751315
4_1,Single Learner,Random Forest Regressor,GP_regression_std,81,8,1,80,1,0.263735632
