category,learner,query_strategy,kernel,length_scale,length_scale_bounds,n_learners,n_initial,n_queries,r2,notes
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.82),5.815384615,"(1e-05, 100000.0)",10,80,100,0.044489899,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.82),5.815384615,"(1e-05, 100000.0)",10,80,100,0.41440791,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.82),5.815384615,"(1e-05, 100000.0)",10,80,100,0.461988694,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.82),5.815384615,"(1e-05, 100000.0)",10,80,100,0.529933733,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.98),5.984615385,"(1e-05, 100000.0)",10,80,100,-14.42578135,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.98),5.984615385,"(1e-05, 100000.0)",10,80,100,-0.008105232,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.98),5.984615385,"(1e-05, 100000.0)",10,80,100,0.433406177,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.98),5.984615385,"(1e-05, 100000.0)",10,80,100,0.56394766,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6),6,"(1e-05, 100000.0)",10,80,100,0.522012579,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.15),6.153846154,"(1e-05, 100000.0)",10,80,100,-0.708995508,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.15),6.153846154,"(1e-05, 100000.0)",10,80,100,0.055358908,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.15),6.153846154,"(1e-05, 100000.0)",10,80,100,0.434422508,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.15),6.153846154,"(1e-05, 100000.0)",10,80,100,0.434923097,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.32),6.323076923,"(1e-05, 100000.0)",10,80,100,-6.723167375,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.32),6.323076923,"(1e-05, 100000.0)",10,80,100,0.357771821,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.32),6.323076923,"(1e-05, 100000.0)",10,80,100,0.366115254,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.32),6.323076923,"(1e-05, 100000.0)",10,80,100,0.369571515,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.49),6.492307692,"(1e-05, 100000.0)",10,80,100,-0.018308041,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.49),6.492307692,"(1e-05, 100000.0)",10,80,100,0.442891706,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.49),6.492307692,"(1e-05, 100000.0)",10,80,100,0.493241593,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.49),6.492307692,"(1e-05, 100000.0)",10,80,100,0.504239051,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.66),6.661538462,"(1e-05, 100000.0)",10,80,100,0.362999723,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.66),6.661538462,"(1e-05, 100000.0)",10,80,100,0.395833773,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.66),6.661538462,"(1e-05, 100000.0)",10,80,100,0.400046045,
